GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parking-system,com.parkit.parkingsystem.service,FareCalculatorService,0,96,1,12,0,24,1,9,0,3
parking-system,com.parkit.parkingsystem.service,ParkingService,0,294,5,16,0,84,5,13,0,7
parking-system,com.parkit.parkingsystem.service,InteractiveShell,72,0,6,0,28,0,8,0,4,0
parking-system,com.parkit.parkingsystem,App,12,0,0,0,5,0,3,0,3,0
parking-system,com.parkit.parkingsystem.model,ParkingSpot,51,25,8,0,15,10,9,5,5,5
parking-system,com.parkit.parkingsystem.model,Ticket,18,42,0,0,4,18,4,12,4,12
parking-system,com.parkit.parkingsystem.constants,ParkingType,0,24,0,0,0,3,0,1,0,1
parking-system,com.parkit.parkingsystem.constants,DBConstants,7,0,0,0,2,0,1,0,1,0
parking-system,com.parkit.parkingsystem.util,InputReaderUtil,43,9,4,0,14,2,5,1,3,1
parking-system,com.parkit.parkingsystem.dao,TicketDAO,13,364,4,12,0,92,4,12,0,8
parking-system,com.parkit.parkingsystem.dao,ParkingSpotDAO,1,166,0,8,1,42,1,11,1,7
parking-system,com.parkit.parkingsystem.config,DataBaseConfig,55,7,6,0,22,2,7,2,4,2
